# submitted_item	validated_id	current_symbol
CG1447	FBgn0020912	Ptx1
CG1449	FBgn0004607	zfh2
CG1451	FBgn0015589	Apc
CG1453	FBgn0030268	Klp10A
CG1454	FBgn0005642	wdn
CG1455	FBgn0010015	CanA1
CG1461	FBgn0030558	Tat
CG1462	FBgn0016123	Alp4
CG1463	FBgn0030406	CG1463
CG1464	FBgn0005558	ey
CG1467	FBgn0031106	Syx16
CG1470	FBgn0013973	Gycbeta100B
CG1471	FBgn0039774	CDase
CG1472	FBgn0033460	Sec24AB
CG1473	FBgn0039776	PH4alphaEFB
CG1474	FBgn0023506	Es2
CG1475	FBgn0037351	RpL13A
CG1479	FBgn0005666	bt
CG1486	FBgn0031174	CG1486
CG1487	FBgn0040206	krz
CG1488	FBgn0030367	Cyp311a1
CG1489	FBgn0020369	Rpt6
CG1490	FBgn0030366	Usp7
CG1492	FBgn0030361	CG1492
CG1494	FBgn0031169	CG1494
CG1497	FBgn0052523	CG32523
CG1499	FBgn0039852	nyo
CG1500	FBgn0001083	fw
CG1504	FBgn0031100	CG1504
CG1505	FBgn0000808	gd
CG1506	FBgn0023416	Ac3
CG1511	FBgn0025936	Eph
CG1512	FBgn0032956	Cul2
CG1513	FBgn0033463	CG1513
CG1514	FBgn0029976	snz
CG1515	FBgn0260858	Ykt6
CG1516	FBgn0027580	PCB
CG1517	FBgn0002917	na
CG1518	FBgn0031149	Stt3A
CG1519	FBgn0023175	Prosalpha7
CG1521	FBgn0053181	CG33181
CG1521	FBgn0260483	CG32714
CG1522	FBgn0263111	cac
CG1523	FBgn0039601	CG1523
CG1528	FBgn0028968	gammaCOP
CG1529	FBgn0031144	CG1529
CG1530	FBgn0260970	Ubr3
CG1531	FBgn0260970	Ubr3
CG1532	FBgn0031143	CG1532
CG1536	FBgn0003447	sn
CG1539	FBgn0082582	tmod
CG1542	FBgn0039828	CG1542
CG1543	FBgn0010329	Tbh
CG1544	FBgn0039827	CG1544
CG1544	FBgn0031150	bves
CG1546	FBgn0039779	PH4alphaSG2
CG1548	FBgn0029093	cathD
CG1550	FBgn0033225	TTLL12
CG1554	FBgn0003277	Polr2A
CG1555	FBgn0000337	cn
CG1559	FBgn0030354	Upf1
CG1560	FBgn0004657	mys
CG1567	FBgn0021742	C901
CG1571	FBgn0029993	CG1571
CG1571	FBgn0030306	Spase25
CG1575	FBgn0029999	CG1575
CG1578	FBgn0030336	CG1578
CG1582	FBgn0030246	CG1582
CG1583	FBgn0030013	GIIIspla2
CG1584	FBgn0023180	Orc6
CG1587	FBgn0024811	Crk
CG1591	FBgn0029133	REG
CG1594	FBgn0004864	hop
CG1597	FBgn0030289	GCS1
CG1598	FBgn0033191	CG1598
CG1599	FBgn0266186	Vamp7
CG1600	FBgn0033188	Drat
CG1602	FBgn0033186	CG1602
CG1603	FBgn0033185	CG1603
CG1605	FBgn0025185	az2
CG1607	FBgn0039844	CG1607
CG1609	FBgn0019990	Gcn2
CG1615	FBgn0017561	Ork1
CG1616	FBgn0015929	dpa
CG1617	FBgn0261873	sdt
CG1618	FBgn0000346	comt
CG1620	FBgn0033183	CG1620
CG1622	FBgn0030468	CG1622
CG1625	FBgn0033447	dila
CG1627	FBgn0259171	Pde9
CG1628	FBgn0030218	CG1628
CG1630	FBgn0283680	IP3K2
CG1632	FBgn0030027	CG1632
CG1633	FBgn0040309	Jafrac1
CG1634	FBgn0264975	Nrg
CG1635	FBgn0039854	CG1635
CG1637	FBgn0030245	CG1637
CG1638	FBgn0039855	CG1638
CG1639	FBgn0001491	l(1)10Bb
CG1640	FBgn0030478	CG1640
CG1644	FBgn0031182	Cyp6t1
CG1645	FBgn0050502	fa2h
CG1646	FBgn0039600	Prp39
CG1647	FBgn0039602	CG1647
CG1650	FBgn0015561	unpg
CG1651	FBgn0011747	Ank
CG1655	FBgn0030242	sofe
CG1657	FBgn0030286	Gapvd1
CG1659	FBgn0025549	unc-119
CG1663	FBgn0033449	CG1663
CG1664	FBgn0003321	sbr
CG1665	FBgn0033451	Marc
CG1666	FBgn0001565	Hlc
CG1669	FBgn0040513	kappaB-Ras
CG1671	FBgn0033454	CG1671
CG1673	FBgn0030482	CG1673
CG1675	FBgn0033457	Ntmt
CG1676	FBgn0031114	cactin
CG1681	FBgn0030484	GstT4
CG1683	FBgn0025111	Ant2
CG1685	FBgn0015527	peng
CG1688	FBgn0027589	CG1688
CG1689	FBgn0002576	lz
CG1691	FBgn0285926	Imp
CG1692	FBgn0002641	mal
CG1693	FBgn0015558	tty
CG1695	FBgn0031116	CG1695
CG1696	FBgn0029067	Dd
CG1697	FBgn0030318	rho-4
CG1698	FBgn0033443	CG1698
CG1702	FBgn0031117	GstT3
CG1703	FBgn0030321	CG1703
CG1704	FBgn0064116	anox
CG1704	FBgn0064117	SLIRP1
CG1705	FBgn0002723	Met
CG1708	FBgn0000352	cos
CG1710	FBgn0039904	Hcf
CG1716	FBgn0030486	Set2
CG1718	FBgn0031170	Abca3
CG1724	FBgn0031164	CG1724
CG1728	FBgn0027359	Tim8
CG1730	FBgn0001624	dlg1
CG1732	FBgn0039915	Gat
CG1736	FBgn0261395	Prosalpha3T
CG1740	FBgn0031145	Ntf-2
CG1742	FBgn0025814	Mgstl
CG1743	FBgn0001145	Gs2
CG1744	FBgn0267435	chp
CG1746	FBgn0039830	ATPsynC
CG1747	FBgn0030300	Sk1
CG1748	FBgn0259216	RhoGAP102A
CG1749	FBgn0030305	Uba5
CG1750	FBgn0039836	CG1750
CG1751	FBgn0030306	Spase25
CG1753	FBgn0031148	Cbs
CG1756	FBgn0262685	CG43155
CG1759	FBgn0000251	cad
CG1760	FBgn0052666	Drak
CG1762	FBgn0010395	Itgbn
CG1763	FBgn0002948	nod
CG1764	FBgn0030467	CG1764
CG1765	FBgn0000546	EcR
CG1768	FBgn0011202	dia
CG1771	FBgn0004456	mew
CG1773	FBgn0033439	CG1773
CG1774	FBgn0039856	CG1774
CG1775	FBgn0011655	Med
CG1776	FBgn0259678	sqa
CG1780	FBgn0026415	Idgf4
CG1782	FBgn0023143	Uba1
CG1783	FBgn0024728	Slip1
CG1785	FBgn0030061	CG1785
CG1787	FBgn0041629	Hexo2
CG1789	FBgn0030063	CG1789
CG1791	FBgn0030163	CG1791
CG1792	FBgn0039860	CG1792
CG1793	FBgn0039923	MED26
CG1794	FBgn0033438	Mmp2
CG1795	FBgn0027864	Ogg1
CG1796	FBgn0030365	Tango4
CG1799	FBgn0003204	ras
CG1800	FBgn0039861	pasha
CG1801	FBgn0031171	CG1801
CG1804	FBgn0039862	kek6
CG1809	FBgn0033423	Alp6
CG1809	FBgn0042132	CG18809
CG1810	FBgn0030556	mRNA-cap
CG1812	FBgn0031119	CG1812
CG1814	FBgn0033426	Nt5c
CG1815	FBgn0039863	CG1815
CG1817	FBgn0004370	Ptp10D
CG1818	FBgn0033428	Urod
CG1819	FBgn0083956	CG34120
CG1824	FBgn0030403	CG1824
CG1826	FBgn0030228	BTBD9
CG1827	FBgn0033431	CG1827
CG1828	FBgn0002183	dre4
CG1829	FBgn0031126	Cyp6v1
CG1832	FBgn0032979	Clamp
CG1836	FBgn0026777	Rad23
CG1837	FBgn0030329	prtp
CG1838	FBgn0026199	myo
CG1839	FBgn0030555	Fbxl4
CG1841	FBgn0030330	Tango10
CG1842	FBgn0013813	Dhc98D
CG1845	FBgn0033155	Br140
CG1846	FBgn0259166	CG42271
CG1847	FBgn0030345	CG1847
CG1849	FBgn0003300	run
CG1851	FBgn0026602	Adk3
CG1855	FBgn0030400	Pits
CG1859	FBgn0044011	Spn43Ad
CG1861	FBgn0052677	X11Lbeta
CG1862	FBgn0040324	Ephrin
CG1864	FBgn0014859	Hr38
CG1869	FBgn0035398	Cht7
CG1871	FBgn0011586	e(r)
CG1873	FBgn0000557	eEF1alpha2
CG1877	FBgn0015509	Cul1
CG1882	FBgn0033226	puml
CG1883	FBgn0039757	RpS7
CG1884	FBgn0085436	Not1
CG1885	FBgn0030066	Uros1
CG1886	FBgn0030343	ATP7
CG1887	FBgn0035290	dsb
CG1889	FBgn0030164	CG1889
CG1890	FBgn0039869	CG1890
CG1891	FBgn0003317	sax
CG1893	FBgn0035390	scramb2
CG1894	FBgn0039585	CG1894
CG1895	FBgn0030339	Cyp28c1
CG1896	FBgn0039870	CG1896
CG1901	FBgn0039914	mav
CG1903	FBgn0265629	CG44437
CG1903	FBgn0265630	sno
CG1905	FBgn0266019	rudhira
CG1906	FBgn0086361	alph
CG1907	FBgn0039674	CG1907
CG1909	FBgn0039911	CG1909
CG1911	FBgn0039680	Cap-D2
CG1912	FBgn0013972	Gycalpha99B
CG1913	FBgn0003884	alphaTub84B
CG1916	FBgn0004360	Wnt2
CG1921	FBgn0014388	sty
CG1922	FBgn0028996	onecut
CG1924	FBgn0030377	CG1924
CG1931	FBgn0259246	brp
CG1937	FBgn0039875	sip3
CG1938	FBgn0030276	Dlic
CG1939	FBgn0037469	Dpck
CG1941	FBgn0033214	CG1941
CG1942	FBgn0033215	Dgat2
CG1944	FBgn0033395	Cyp4p2
CG1945	FBgn0005632	faf
CG1946	FBgn0033216	CG1946
CG1950	FBgn0030370	Uch-L5R
CG1951	FBgn0039623	CG1951
CG1954	FBgn0003093	Pkc98E
CG1956	FBgn0004636	Rap1
CG1957	FBgn0027873	Cpsf100
CG1962	FBgn0032876	Cen
CG1963	FBgn0024841	Pcd
CG1964	FBgn0039688	Kul
CG1965	FBgn0037466	CG1965
CG1966	FBgn0027620	Acf
CG1967	FBgn0030341	p24-1
CG1968	FBgn0033401	Cog6
CG1970	FBgn0039909	ND-49
CG1972	FBgn0039691	IntS11
CG1973	FBgn0260990	yata
CG1975	FBgn0028408	Drep2
CG1976	FBgn0039883	RhoGAP100F
CG1977	FBgn0024510	dlt
CG1977	FBgn0250789	alpha-Spec
CG1981	FBgn0026869	Tdg
CG1982	FBgn0024289	Sodh-1
CG1986	FBgn0030162	CG1986
CG1987	FBgn0030479	Rbp1-like
CG1989	FBgn0026749	Yippee
CG1994	FBgn0027330	l(1)G0020
CG1998	FBgn0030485	CG1998
CG2003	FBgn0039886	CG2003
CG2005	FBgn0004369	Ptp99A
CG2006	FBgn0039664	CG2006
CG2008	FBgn0265082	Cdep
CG2009	FBgn0026262	Taf3
CG2010	FBgn0039667	FipoQ
CG2014	FBgn0039669	ND-20L
CG2017	FBgn0037391	CG2017
CG2019	FBgn0029088	disp
CG2023	FBgn0037383	Sec20
CG2025	FBgn0030344	Nrd1
CG2028	FBgn0015024	CkIalpha
CG2031	FBgn0037382	Hpr1
CG2040	FBgn0010114	hig
CG2047	FBgn0001077	ftz
CG2048	FBgn0002413	dco
CG2049	FBgn0020621	Pkn
CG2051	FBgn0037376	Hat1
CG2052	FBgn0262636	dati
CG2053	FBgn0039887	CG2053
CG2054	FBgn0022702	Cht2
CG2055	FBgn0020621	Pkn
CG2056	FBgn0030051	spirit
CG2060	FBgn0014469	Cyp4e2
CG2061	FBgn0027498	CG2061
CG2062	FBgn0015034	Cyp4e1
CG2063	FBgn0033400	CG2063
CG2064	FBgn0033205	CG2064
CG2069	FBgn0035264	Oseg4
CG2070	FBgn0033203	CG2070
CG2071	FBgn0011834	Ser6
CG2072	FBgn0026326	Mad1
CG2076	FBgn0030263	CG2076
CG2077	FBgn0052487	CG32487
CG2077	FBgn0052488	CG32488
CG2078	FBgn0033402	Myd88
CG2079	FBgn0029944	Dok
CG2082	FBgn0027608	CG2082
CG2083	FBgn0263392	Tet
CG2086	FBgn0027594	drpr
CG2087	FBgn0037327	PEK
CG2088	FBgn0263077	M7BP
CG2091	FBgn0037372	CG2091
CG2092	FBgn0261385	scra
CG2093	FBgn0033194	Vps13
CG2095	FBgn0266672	Sec8
CG2096	FBgn0000711	flw
CG2097	FBgn0037371	Sym
CG2098	FBgn0266268	FeCH
CG2100	FBgn0037369	CG2100
CG2101	FBgn0035374	mRpS35
CG2102	FBgn0004878	cas
CG2103	FBgn0035375	Pgant6
CG2104	FBgn0037365	CG2104
CG2105	FBgn0033192	Corin
CG2107	FBgn0035383	CPT2
CG2108	FBgn0037364	Rab23
CG2109	FBgn0037330	mRpL44
CG2111	FBgn0030223	CG2111
CG2112	FBgn0250755	CG42233
CG2113	FBgn0035384	CG2113
CG2114	FBgn0035385	FMRFaR
CG2116	FBgn0030003	CG2116
CG2118	FBgn0039877	Mccc1
CG2120	FBgn0030005	CG2120
CG2121	FBgn0033289	CG2121
CG2122	FBgn0051619	nolo
CG2124	FBgn0030217	CG2124
CG2125	FBgn0004859	ci
CG2128	FBgn0025825	HDAC3
CG2129	FBgn0030008	CG2129
CG2131	FBgn0051619	nolo
CG2135	FBgn0270927	betaGlu
CG2136	FBgn0263705	Myo10A
CG2137	FBgn0033190	Gpo2
CG2139	FBgn0028646	aralar1
CG2143	FBgn0052687	CG32687
CG2144	FBgn0033187	PIG-G
CG2145	FBgn0030251	CG2145
CG2146	FBgn0261397	didum
CG2151	FBgn0020653	Trxr-1
CG2152	FBgn0086768	Pcmt
CG2155	FBgn0003965	v
CG2158	FBgn0033264	Nup50
CG2159	FBgn0052484	Sk2
CG2159	FBgn0052485	CG32485
CG2160	FBgn0033266	Socs44A
CG2161	FBgn0017550	Rga
CG2162	FBgn0035388	CG2162
CG2163	FBgn0005648	Pabp2
CG2168	FBgn0017545	RpS3A
CG2171	FBgn0086355	Tpi
CG2174	FBgn0263705	Myo10A
CG2177	FBgn0039902	Zip102B
CG2179	FBgn0010772	Xe7
CG2182	FBgn0037360	CG2182
CG2183	FBgn0033273	Gasz
CG2184	FBgn0002773	Mlc2
CG2185	FBgn0037358	elm
CG2187	FBgn0017448	CG2187
CG2189	FBgn0000439	Dfd
CG2191	FBgn0039873	Smvt
CG2194	FBgn0086450	su(r)
CG2196	FBgn0039872	salt
CG2198	FBgn0000071	Ama
CG2201	FBgn0032955	CG2201
CG2202	FBgn0030240	CG2202
CG2204	FBgn0001122	Galphao
CG2210	FBgn0000150	awd
CG2212	FBgn0003656	sws
CG2218	FBgn0039767	CG2218
CG2221	FBgn0028331	l(1)G0289
CG2224	FBgn0039773	CG2224
CG2227	FBgn0011770	Gip
CG2229	FBgn0039777	Jon99Fii
CG2238	FBgn0000559	eEF2
CG2241	FBgn0039788	Rpt6R
CG2244	FBgn0027951	MTA1-like
CG2245	FBgn0261479	nero
CG2246	FBgn0039790	CG2246
CG2248	FBgn0010333	Rac1
CG2252	FBgn0004656	fs(1)h
CG2253	FBgn0029992	Upf2
CG2254	FBgn0029994	Ldsdh1
CG2256	FBgn0029995	CG2256
CG2257	FBgn0029996	UbcE2H
CG2258	FBgn0029997	CG2258
CG2259	FBgn0040319	Gclc
CG2260	FBgn0030000	CG2260
CG2261	FBgn0039867	CstF50
CG2262	FBgn0025800	Smox
CG2263	FBgn0030007	alpha-PheRS
CG2264	FBgn0262169	magu
CG2272	FBgn0030018	slpr
CG2275	FBgn0001291	Jra
CG2277	FBgn0035204	Nt5a
CG2280	FBgn0050371	CG30371
CG2280	FBgn0050375	CG30375
CG2286	FBgn0017566	ND-75
CG2287	FBgn0263220	Hk
CG2292	FBgn0033479	PIG-N
CG2302	FBgn0015519	nAChRalpha3
CG2304	FBgn0039668	Trc8
CG2309	FBgn0052703	Erk7
CG2316	FBgn0039890	Abcd1
CG2321	FBgn0039663	CG2321
CG2328	FBgn0000606	eve
CG2330	FBgn0037447	Neurochondrin
CG2331	FBgn0286784	TER94
CG2337	FBgn0051482	CG31482
CG2337	FBgn0051484	CG31484
CG2346	FBgn0000715	FMRFa
CG2380	FBgn0042696	NfI
CG2381	FBgn0039900	Syt7
CG2397	FBgn0033304	Cyp6a13
CG2411	FBgn0003892	ptc
CG2412	FBgn0033389	Rad51D
CG2448	FBgn0030327	FucT6
CG2453	FBgn0030460	Coq5
CG2469	FBgn0035205	Ctr9
CG2471	FBgn0030357	Sclp
CG2478	FBgn0261787	brun
CG2488	FBgn0016054	phr6-4
CG2493	FBgn0032864	CG2493
CG2503	FBgn0010750	atms
CG2505	FBgn0015570	alpha-Est2
CG2508	FBgn0032863	Cdc23
CG2509	FBgn0051547	NKCC
CG2512	FBgn0003885	alphaTub84D
CG2520	FBgn0086372	lap
CG2522	FBgn0010391	SrpRalpha
CG2525	FBgn0026417	Hus1-like
CG2528	FBgn0032969	CG2528
CG2532	FBgn0052670	Rab9Fb
CG2532	FBgn0052671	Rab9Fa
CG2533	FBgn0030319	CG2533
CG2534	FBgn0259212	cno
CG2540	FBgn0030411	CG2540
CG2543	FBgn0030407	Fpgs
CG2551	FBgn0052654	Sec16
CG2574	FBgn0030386	CG2574
CG2577	FBgn0030384	CG2577
CG2578	FBgn0267001	Ten-a
CG2590	FBgn0267001	Ten-a
CG2604	FBgn0037298	Sccpdh1
CG2608	FBgn0032870	CG2608
CG2614	FBgn0032873	CG2614
CG2615	FBgn0086657	IKKepsilon
CG2616	FBgn0037512	CG2616
CG2621	FBgn0003371	sgg
CG2637	FBgn0262743	Fs(2)Ket
CG2641	FBgn0037518	CG2641
CG2647	FBgn0003068	per
CG2649	FBgn0051472	sgll
CG2649	FBgn0051473	CG31473
CG2655	FBgn0011276	HLH3B
CG2656	FBgn0037478	CG2656
CG2658	FBgn0024992	Spg7
CG2667	FBgn0085413	CG34384
CG2669	FBgn0086695	hd
CG2670	FBgn0024909	Taf7
CG2671	FBgn0002121	l(2)gl
CG2674	FBgn0005278	Sam-S
CG2675	FBgn0024994	Ugalt
CG2677	FBgn0024996	eIF2Bbeta
CG2678	FBgn0014931	CG2678
CG2679	FBgn0004919	gol
CG2680	FBgn0024995	CG2680
CG2681	FBgn0024997	CG2681
CG2682	FBgn0033015	d4
CG2684	FBgn0002542	lds
CG2685	FBgn0024998	CG2685
CG2691	FBgn0030504	CG2691
CG2692	FBgn0001147	gsb-n
CG2698	FBgn0037536	CG2698
CG2699	FBgn0020622	Pi3K21B
CG2701	FBgn0024973	CG2701
CG2702	FBgn0037540	Pbp95
CG2711	FBgn0000520	dwg
CG2712	FBgn0024975	CG2712
CG2713	FBgn0250874	ttm50
CG2714	FBgn0000376	crm
CG2714	FBgn0000520	dwg
CG2718	FBgn0001142	Gs1
CG2720	FBgn0024352	Stip1
CG2727	FBgn0010435	emp
CG2736	FBgn0035090	CG2736
CG2746	FBgn0285950	RpL19
CG2747	FBgn0037541	CG2747
CG2759	FBgn0003996	w
CG2761	FBgn0051973	Cda5
CG2767	FBgn0037537	CG2767
CG2772	FBgn0031533	CG2772
CG2774	FBgn0031534	Snx1
CG2779	FBgn0052656	Muc11A
CG2781	FBgn0037534	Elovl7
CG2788	FBgn0015663	Ugt36A1
CG2789	FBgn0031263	Tspo
CG2790	FBgn0027599	CG2790
CG2791	FBgn0037533	CD98hc
CG2794	FBgn0031265	CG2794
CG2807	FBgn0031266	Sf3b1
CG2807	FBgn0036314	Sf3a2
CG2808	FBgn0085369	Drgx
CG2812	FBgn0034931	CG2812
CG2818	FBgn0031566	CG2818
CG2819	FBgn0023489	Pph13
CG2822	FBgn0003386	Shaw
CG2829	FBgn0283657	Tlk
CG2831	FBgn0041150	hoe1
CG2835	FBgn0001123	Galphas
CG2843	FBgn0031452	Cwc25
CG2845	FBgn0003079	Raf
CG2846	FBgn0014930	CG2846
CG2848	FBgn0031456	Tnpo-SR
CG2849	FBgn0015286	Rala
CG2851	FBgn0010323	Gsc
CG2855	FBgn0031458	aph-1
CG2856	FBgn0023215	Mnt
CG2857	FBgn0035078	Tpc2
CG2858	FBgn0043792	CG30427
CG2859	FBgn0028398	Taf10
CG2862	FBgn0031459	HINT1
CG2863	FBgn0021874	Nle
CG2864	FBgn0023216	Parg
CG2867	FBgn0004901	Prat
CG2875	FBgn0029672	CG2875
CG2883	FBgn0052683	CG32683
CG2885	FBgn0030200	RabX2
CG2887	FBgn0030207	CG2887
CG2889	FBgn0030206	CG2889
CG2890	FBgn0030208	PPP4R2r
CG2892	FBgn0052687	CG32687
CG2893	FBgn0265767	zyd
CG2899	FBgn0015402	ksr
CG2901	FBgn0029679	CG2901
CG2902	FBgn0010399	Nmdar1
CG2903	FBgn0031450	Hrs
CG2904	FBgn0000542	ec
CG2905	FBgn0053554	Nipped-A
CG2906	FBgn0033240	CG2906
CG2907	FBgn0051546	CG31546
CG2907	FBgn0051548	CG31548
CG2908	FBgn0030190	CG2908
CG2910	FBgn0027548	nito
CG2913	FBgn0265575	yin
CG2914	FBgn0005660	Ets21C
CG2915	FBgn0033241	CG2915
CG2917	FBgn0023181	Orc4
CG2918	FBgn0023529	CG2918
CG2919	FBgn0261004	asl
CG2921	FBgn0034689	CG2921
CG2922	FBgn0250753	kra
CG2924	FBgn0023528	CG2924
CG2925	FBgn0014366	noi
CG2926	FBgn0037344	CG2926
CG2929	FBgn0037339	Pi4KIIalpha
CG2930	FBgn0028491	CG2930
CG2931	FBgn0037342	CG2931
CG2932	FBgn0025679	Klf15
CG2937	FBgn0031639	mRpS2
CG2938	FBgn0029685	CG2938
CG2939	FBgn0004567	slp2
CG2943	FBgn0037530	EMC1
CG2944	FBgn0026238	gus
CG2945	FBgn0000316	cin
CG2947	FBgn0029676	HIP-R
CG2948	FBgn0037345	PolZ2
CG2950	FBgn0031637	mxt
CG2956	FBgn0003900	twi
CG2957	FBgn0037529	mRpS9
CG2960	FBgn0003941	RpL40
CG2964	FBgn0031462	CG2964
CG2967	FBgn0085437	CG34408
CG2969	FBgn0020762	Atet
